2019-04-03 15:26:51,585 INFO 404 [egg:logger] init all loggers with options: {"dir":"D:\\works\\NodePro\\egg-pro\\egg-ifram\\logs\\ifram","encoding":"utf8","env":"local","level":"INFO","consoleLevel":"INFO","disableConsoleAfterReady":false,"outputJSON":false,"buffer":true,"appLogName":"ifram-web.log","coreLogName":"egg-web.log","agentLogName":"egg-agent.log","errorLogName":"common-error.log","coreLogger":{"consoleLevel":"WARN"},"allowDebugAtProd":false,"type":"agent"}
2019-04-03 15:26:51,695 INFO 404 [egg:core] dump config after load, 4ms
2019-04-03 15:26:51,730 INFO 404 [egg-watcher] Start watching: ["D:\\works\\NodePro\\egg-pro\\egg-ifram\\app","D:\\works\\NodePro\\egg-pro\\egg-ifram\\config","D:\\works\\NodePro\\egg-pro\\egg-ifram\\mocks","D:\\works\\NodePro\\egg-pro\\egg-ifram\\mocks_proxy","D:\\works\\NodePro\\egg-pro\\egg-ifram\\app.js"]
2019-04-03 15:26:51,730 INFO 404 [egg-watcher] Start watching: "D:\\works\\NodePro\\egg-pro\\egg-ifram\\app"
2019-04-03 15:26:51,730 INFO 404 [egg-watcher] Start watching: "D:\\works\\NodePro\\egg-pro\\egg-ifram\\config"
2019-04-03 15:26:51,730 INFO 404 [egg-watcher] Start watching: "D:\\works\\NodePro\\egg-pro\\egg-ifram\\mocks"
2019-04-03 15:26:51,730 INFO 404 [egg-watcher] Start watching: "D:\\works\\NodePro\\egg-pro\\egg-ifram\\mocks_proxy"
2019-04-03 15:26:51,730 INFO 404 [egg-watcher] Start watching: "D:\\works\\NodePro\\egg-pro\\egg-ifram\\app.js"
2019-04-03 15:26:51,731 INFO 404 [egg-watcher:agent] watcher start success
2019-04-03 15:26:51,737 INFO 404 [egg:core] dump config after ready, 3ms
2019-04-03 15:43:17,110 INFO 404 [egg-watcher] Recieved a change event from eventSource: {"event":"change","path":"D:\\works\\NodePro\\egg-pro\\egg-ifram\\app\\public","stat":{"dev":4241904955,"mode":16822,"nlink":1,"uid":0,"gid":0,"rdev":0,"ino":281474977665971,"size":0,"atimeMs":1554277397105.7815,"mtimeMs":1554277397105.7815,"ctimeMs":1554277397105.7815,"birthtimeMs":1554276412731.9395,"atime":"2019-04-03T07:43:17.106Z","mtime":"2019-04-03T07:43:17.106Z","ctime":"2019-04-03T07:43:17.106Z","birthtime":"2019-04-03T07:26:52.732Z"},"remove":false,"isDirectory":true,"isFile":false}
2019-04-03 15:43:17,111 INFO 404 [egg-watcher] Recieved a change event from eventSource: {"event":"change","path":"D:\\works\\NodePro\\egg-pro\\egg-ifram\\app\\public\\favicon.ico","stat":{"dev":4241904955,"mode":33206,"nlink":1,"uid":0,"gid":0,"rdev":0,"ino":281474977665978,"size":1150,"atimeMs":1554277397103.829,"mtimeMs":1554251358696.8955,"ctimeMs":1554251358696.8955,"birthtimeMs":1554277397103.829,"atime":"2019-04-03T07:43:17.104Z","mtime":"2019-04-03T00:29:18.697Z","ctime":"2019-04-03T00:29:18.697Z","birthtime":"2019-04-03T07:43:17.104Z"},"remove":false,"isDirectory":false,"isFile":true}
2019-04-03 15:43:17,111 INFO 404 [egg-watcher] Recieved a change event from eventSource: {"event":"change","path":"D:\\works\\NodePro\\egg-pro\\egg-ifram\\app\\public\\favicon.ico","stat":{"dev":4241904955,"mode":33206,"nlink":1,"uid":0,"gid":0,"rdev":0,"ino":281474977665978,"size":1150,"atimeMs":1554277397103.829,"mtimeMs":1554251358696.8955,"ctimeMs":1554251358696.8955,"birthtimeMs":1554277397103.829,"atime":"2019-04-03T07:43:17.104Z","mtime":"2019-04-03T00:29:18.697Z","ctime":"2019-04-03T00:29:18.697Z","birthtime":"2019-04-03T07:43:17.104Z"},"remove":false,"isDirectory":false,"isFile":true}
2019-04-03 15:43:17,112 INFO 404 [egg-watcher] Recieved a change event from eventSource: {"event":"change","path":"D:\\works\\NodePro\\egg-pro\\egg-ifram\\app\\public","stat":{"dev":4241904955,"mode":16822,"nlink":1,"uid":0,"gid":0,"rdev":0,"ino":281474977665971,"size":0,"atimeMs":1554277397110.663,"mtimeMs":1554277397105.7815,"ctimeMs":1554277397105.7815,"birthtimeMs":1554276412731.9395,"atime":"2019-04-03T07:43:17.111Z","mtime":"2019-04-03T07:43:17.106Z","ctime":"2019-04-03T07:43:17.106Z","birthtime":"2019-04-03T07:26:52.732Z"},"remove":false,"isDirectory":true,"isFile":false}
2019-04-03 15:43:17,112 INFO 404 [egg-watcher] Recieved a change event from eventSource: {"event":"rename","path":"D:\\works\\NodePro\\egg-pro\\egg-ifram\\app\\public\\index.html","stat":{"dev":4241904955,"mode":33206,"nlink":1,"uid":0,"gid":0,"rdev":0,"ino":281474977665979,"size":1270,"atimeMs":1554277397104.8047,"mtimeMs":1554277062408.4792,"ctimeMs":1554277062408.4792,"birthtimeMs":1554277397104.8047,"atime":"2019-04-03T07:43:17.105Z","mtime":"2019-04-03T07:37:42.408Z","ctime":"2019-04-03T07:37:42.408Z","birthtime":"2019-04-03T07:43:17.105Z"},"remove":false,"isDirectory":false,"isFile":true}
2019-04-03 15:43:17,112 INFO 404 [egg-watcher] Recieved a change event from eventSource: {"event":"rename","path":"D:\\works\\NodePro\\egg-pro\\egg-ifram\\app\\public\\css","stat":{"dev":4241904955,"mode":16822,"nlink":1,"uid":0,"gid":0,"rdev":0,"ino":281474977665980,"size":0,"atimeMs":1554277397105.7815,"mtimeMs":1554272693144.775,"ctimeMs":1554277397105.7815,"birthtimeMs":1554277397105.7815,"atime":"2019-04-03T07:43:17.106Z","mtime":"2019-04-03T06:24:53.145Z","ctime":"2019-04-03T07:43:17.106Z","birthtime":"2019-04-03T07:43:17.106Z"},"remove":false,"isDirectory":true,"isFile":false}
2019-04-03 15:43:17,113 INFO 404 [egg-watcher] Recieved a change event from eventSource: {"event":"change","path":"D:\\works\\NodePro\\egg-pro\\egg-ifram\\app\\public\\index.html","stat":{"dev":4241904955,"mode":33206,"nlink":1,"uid":0,"gid":0,"rdev":0,"ino":281474977665979,"size":1270,"atimeMs":1554277397104.8047,"mtimeMs":1554277062408.4792,"ctimeMs":1554277062408.4792,"birthtimeMs":1554277397104.8047,"atime":"2019-04-03T07:43:17.105Z","mtime":"2019-04-03T07:37:42.408Z","ctime":"2019-04-03T07:37:42.408Z","birthtime":"2019-04-03T07:43:17.105Z"},"remove":false,"isDirectory":false,"isFile":true}
2019-04-03 15:43:17,113 INFO 404 [egg-watcher] Recieved a change event from eventSource: {"event":"change","path":"D:\\works\\NodePro\\egg-pro\\egg-ifram\\app\\public\\index.html","stat":{"dev":4241904955,"mode":33206,"nlink":1,"uid":0,"gid":0,"rdev":0,"ino":281474977665979,"size":1270,"atimeMs":1554277397104.8047,"mtimeMs":1554277062408.4792,"ctimeMs":1554277062408.4792,"birthtimeMs":1554277397104.8047,"atime":"2019-04-03T07:43:17.105Z","mtime":"2019-04-03T07:37:42.408Z","ctime":"2019-04-03T07:37:42.408Z","birthtime":"2019-04-03T07:43:17.105Z"},"remove":false,"isDirectory":false,"isFile":true}
2019-04-03 15:43:17,113 INFO 404 [egg-watcher] Recieved a change event from eventSource: {"event":"change","path":"D:\\works\\NodePro\\egg-pro\\egg-ifram\\app\\public\\css","stat":{"dev":4241904955,"mode":16822,"nlink":1,"uid":0,"gid":0,"rdev":0,"ino":281474977665980,"size":0,"atimeMs":1554277397105.7815,"mtimeMs":1554272693144.775,"ctimeMs":1554277397105.7815,"birthtimeMs":1554277397105.7815,"atime":"2019-04-03T07:43:17.106Z","mtime":"2019-04-03T06:24:53.145Z","ctime":"2019-04-03T07:43:17.106Z","birthtime":"2019-04-03T07:43:17.106Z"},"remove":false,"isDirectory":true,"isFile":false}
2019-04-03 15:43:17,114 INFO 404 [egg-watcher] Recieved a change event from eventSource: {"event":"change","path":"D:\\works\\NodePro\\egg-pro\\egg-ifram\\app\\public\\css","stat":{"dev":4241904955,"mode":16822,"nlink":1,"uid":0,"gid":0,"rdev":0,"ino":281474977665980,"size":0,"atimeMs":1554277397105.7815,"mtimeMs":1554272693144.775,"ctimeMs":1554277397105.7815,"birthtimeMs":1554277397105.7815,"atime":"2019-04-03T07:43:17.106Z","mtime":"2019-04-03T06:24:53.145Z","ctime":"2019-04-03T07:43:17.106Z","birthtime":"2019-04-03T07:43:17.106Z"},"remove":false,"isDirectory":true,"isFile":false}
